N,rv,rg,z,time,interaction_type,idr,mr,id1,m1,id2,m2,r,typer,type1,type2
16.0,2.0,2.0,0.0002,12.2858183296,disrupt2,1631844,7.57297,614367,7.57286,1631844,32.4575,0.818875,14,14,4
16.0,2.0,2.0,0.0002,12.719917432599999,disrupt2,1620248,6.44762,304714,6.44737,1620248,31.916,0.243508,14,14,4
16.0,2.0,2.0,0.0002,12.719917432599999,disrupt2,1666400,6.20331,1048472,6.20319,1666400,31.9459,3.44828,14,14,4
16.0,2.0,2.0,0.0002,13.1533797154,disrupt2,1677947,8.31155,1429413,8.31154,1677947,29.2644,1.64724,14,14,4
16.0,2.0,2.0,0.0002,13.4739833072,disrupt2,1629956,6.02667,1072913,6.02662,1629956,29.9734,1.36806,14,14,4
16.0,2.0,2.0,0.0002,13.59964916,disrupt2,1632918,8.37769,185177,8.37749,1632918,29.6738,0.31415,14,14,4
16.0,2.0,2.0,0.0002,13.59964916,disrupt2,1635032,7.93994,744761,7.93975,1635032,30.0106,0.470161,14,14,4
16.0,2.0,2.0,0.0002,13.7188052952,disrupt2,1641864,8.28604,1556663,8.28587,1641864,29.2223,2.7765,14,14,4
16.0,2.0,2.0,0.0002,14.2338513214,disrupt2,1676082,8.23878,446597,8.23865,1676082,27.9703,0.399495,14,14,4
16.0,2.0,2.0,0.0002,14.629104392199999,disrupt2,1679331,5.99998,704512,5.99986,1679331,26.8183,1.96744,14,14,4
16.0,2.0,2.0,0.0002,14.722929235,disrupt2,1620228,7.82924,1570202,7.82923,1620228,27.2983,2.70438,14,14,4
16.0,2.0,2.0,0.0002,14.854043438399998,disrupt2,1648767,6.24545,241647,6.24543,1648767,25.9353,2.1084,14,14,4
16.0,2.0,2.0,0.0002,14.854043438399998,disrupt2,1617828,6.31222,1570114,6.31222,1617828,25.9582,4.33507,14,14,4
16.0,2.0,2.0,0.0002,14.9349196038,disrupt2,1613832,8.15145,350672,8.15134,1613832,26.532,0.734723,14,14,4
16.0,2.0,2.0,0.0002,16.9745839466,disrupt2,1615845,7.40289,988089,7.40288,1615845,23.2726,0.721843,14,14,4
16.0,2.0,2.0,0.0002,76.22100973799999,disrupt1,698456,40.5049,698456,40.5039,1010494,0.935906,0.0511786,14,14,7
16.0,2.0,2.0,0.002,9.0543803614,disrupt2,1620645,21.1892,252721,10.5765,1620645,16.3945,0.302643,14,14,7
16.0,2.0,2.0,0.002,9.0543803614,disrupt1,1003608,18.9591,1003608,8.25416,1600677,16.3419,0.808177,14,14,7
16.0,2.0,2.0,0.002,11.388114121,disrupt2,1610655,6.90029,851837,6.90028,1610655,33.5395,3.22786,14,14,2
16.0,2.0,2.0,0.002,12.243788196399999,disrupt2,1631844,14.3953,614367,8.51141,1631844,10.557,0.267758,14,14,7
16.0,2.0,2.0,0.002,12.243788196399999,disrupt2,1634509,14.4563,442173,8.57854,1634509,10.5522,0.621531,14,14,7
16.0,2.0,2.0,0.02,6.43200430826,disrupt2,1621479,14.7548,1354910,8.49113,1621479,12.416,0.557531,14,14,7
16.0,2.0,2.0,0.02,6.63801564296,disrupt2,1639621,12.7145,571779,6.71407,1639621,10.5039,0.293648,14,14,7
16.0,2.0,2.0,0.02,6.63801564296,disrupt2,1653119,14.351,571077,8.21482,1653119,11.5826,0.368605,14,14,7
16.0,2.0,2.0,0.02,7.1592034462,disrupt2,1632309,7.5649,162029,7.56419,1632309,47.5647,0.247767,14,14,2
16.0,2.0,20.0,0.0002,9.3935224968,disrupt2,1651207,13.325,36799,13.3238,1651207,43.6917,0.120686,14,14,4
16.0,2.0,20.0,0.0002,9.3935224968,disrupt2,1607821,10.7861,330567,10.6878,1607821,43.7498,0.420176,14,14,4
16.0,2.0,20.0,0.0002,9.937083916399999,disrupt2,1664847,8.51006,1213902,8.42767,1664847,41.6338,0.567357,14,14,4
16.0,2.0,20.0,0.0002,9.937083916399999,disrupt2,1640440,10.6944,930902,10.6941,1640440,41.7563,1.6728,14,14,4
16.0,2.0,20.0,0.0002,10.5775127642,disrupt2,1610587,11.5375,996750,11.5366,1610587,38.0947,0.699225,14,14,4
