#N,#rv,#rg,#z,#t_snapshot[myr],#M1[MSUN],#M2[MSUN],#k1,#k2,#id1,#id2,#sma[AU],#ecc,#bin_star_radius0[RSUN],#bin_star_radius1[RSUN],#snapshot, #roche_lobe1_calc[RSUN], #roche_lobe2_calc[RSUN],#radrol0,#radrol1
8.0,0.5,20.0,0.02,2599.668265491,7.586202,1.2693802,14.0,12.0,874508.0,1491836.0,1.0413183,0.95833127,3.2165497e-05,0.003839415,initial.bhinfo0092,120.01135818836399,53.639353182735285,2.68118e-07,7.16043e-05
8.0,0.5,20.0,0.02,635.4289531596601,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.033959188,0.56618466,0.0023156732,3.2564595e-05,initial.bhinfo0045,1.7693776054809183,3.888523489758484,0.00130923,8.37758e-06
8.0,0.5,20.0,0.02,777.7033862994,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.031816605,0.5493402,0.0023156732,3.2564595e-05,initial.bhinfo0051,1.6577424751567145,3.6431853407939916,0.00139739,8.94174e-06
8.0,0.5,20.0,0.02,7613.281907352,1.177488,6.0561338,11.0,14.0,511288.0,948446.0,0.044856642,0.85905945,0.0059661859,2.5678007e-05,initial.bhinfo0119,2.4093514166435015,5.04636548810137,0.00247716,5.09026e-06
8.0,0.5,20.0,0.02,541.36797232023,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.035634455,0.62415446,0.0023156732,3.2564595e-05,initial.bhinfo0041,1.8566641422791832,4.080351253164289,0.00124768,7.98373e-06
8.0,0.5,20.0,0.02,3348.9107243855997,0.58360629,6.1267536,11.0,14.0,268320.0,1104495.0,0.4162417,0.91647361,0.013002241,2.5977435e-05,initial.bhinfo0097,18.247022313884898,52.09200448650931,0.000712827,4.98865e-07
8.0,0.5,20.0,0.02,530.61272764632,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.035851053,0.62603331,0.0023156732,3.2564595e-05,initial.bhinfo0040,1.8679495608407801,4.105152977246582,0.00124014,7.9355e-06
8.0,0.5,20.0,0.02,7703.6994789479995,1.177488,6.0561338,11.0,14.0,511288.0,948446.0,0.030488683,0.79780475,0.0059661859,2.5678007e-05,initial.bhinfo0120,1.637615931608181,3.4299722584865573,0.00364454,7.48908e-06
8.0,0.5,20.0,0.02,559.5025070784601,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.035268646,0.62093995,0.0023156732,3.2564595e-05,initial.bhinfo0042,1.83760437405141,4.038464006353056,0.00126062,8.06654e-06
8.0,0.5,20.0,0.02,2820.4995647367004,1.3317643,6.5244042,12.0,14.0,209705.0,879334.0,0.30892357,0.93856787,0.0025048631,2.7663474e-05,initial.bhinfo0094,16.81763541088329,34.47610773049242,0.000148997,8.02687e-07
8.0,0.5,20.0,0.02,580.1682311172001,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.034850809,0.61720339,0.0023156732,3.2564595e-05,initial.bhinfo0043,1.8158337878247515,3.9906192525447435,0.00127573,8.16325e-06
8.0,0.5,20.0,0.02,12952.91083086,16.056493,0.81385917,14.0,11.0,847306.0,1118376.0,3.0685564,0.73628024,6.8079528e-05,0.01015195,initial.bhinfo0150,414.9023692882505,111.52922866503904,1.64145e-07,9.10581e-05
8.0,0.5,20.0,0.02,11945.31275619,15.026752,1.1358949,14.0,11.0,847296.0,947066.0,0.39594795,0.42819322,6.3713428e-05,0.0064811098,initial.bhinfo0144,51.067914603000766,16.21736654959166,1.24807e-06,0.000399785
8.0,0.5,20.0,0.02,12122.365337973,1.1269855,15.026752,11.0,14.0,230762.0,847296.0,0.29267886,0.25917191,0.0065887256,6.3713428e-05,initial.bhinfo0145,11.959741939080988,37.786002395770055,0.000551109,1.68678e-06
8.0,0.5,20.0,0.02,13062.023542062,2.3007402,1.3640946,14.0,12.0,981355.0,1260461.0,0.20688142,0.56223756,9.7551385e-06,0.0014297498,initial.bhinfo0151,18.899876810114755,14.88882257827977,5.16336e-07,9.60633e-05
8.0,0.5,20.0,0.02,13231.273790691,1.1106942,2.3007402,11.0,14.0,468511.0,981356.0,0.030930454,0.80565876,0.0067834618,9.7551385e-06,initial.bhinfo0153,2.1147819727155466,2.9472720075474204,0.00320881,3.31109e-06
8.0,0.5,20.0,0.02,405.44706977379,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.053097278,0.39549056,0.0023156732,3.2564595e-05,initial.bhinfo0033,2.766530654537282,6.079945514163541,0.000837336,5.35801e-06
8.0,0.5,20.0,0.02,391.5056185623,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.053115394,0.39561945,0.0023156732,3.2564595e-05,initial.bhinfo0032,2.7674745535698775,6.0820199009698594,0.00083705,5.35618e-06
8.0,0.5,20.0,0.02,450.16199308674004,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.053039126,0.39507654,0.0023156732,3.2564595e-05,initial.bhinfo0036,2.763500757399756,6.073286773737345,0.000838254,5.36389e-06
8.0,0.5,20.0,0.02,475.10459926677,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.053006658,0.39484521,0.0023156732,3.2564595e-05,initial.bhinfo0037,2.7618090752519153,6.069568999900541,0.000838767,5.36717e-06
8.0,0.5,20.0,0.02,13591.267431291,1.1106942,2.3007402,11.0,14.0,468511.0,981356.0,0.023057261,0.75018222,0.0067834618,9.7551385e-06,initial.bhinfo0155,1.5764747553656095,2.197058598493732,0.00430449,4.4417e-06
8.0,0.5,20.0,0.02,434.99360510694004,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.05305886,0.39521708,0.0023156732,3.2564595e-05,initial.bhinfo0035,2.7645289591832194,6.075546430904263,0.000837942,5.36189e-06
8.0,0.5,20.0,0.02,422.69260488642004,1.3386683,7.6803291,12.0,14.0,444315.0,744892.0,0.053074859,0.39533101,0.0023156732,3.2564595e-05,initial.bhinfo0034,2.7653625560380704,6.077378408963121,0.000837689,5.36028e-06
8.0,0.5,20.0,0.02,11328.83543979,1.0714209,7.9976283,11.0,14.0,635696.0,1087084.0,0.029022639,0.81114811,0.0072437894,3.3909944e-05,initial.bhinfo0140,1.4038537677702014,3.460748899713225,0.00516181,9.802e-06
8.0,0.5,20.0,0.02,13362.938331138,1.1106942,2.3007402,11.0,14.0,468511.0,981356.0,0.030353078,0.61975052,0.0067834618,9.7551385e-06,initial.bhinfo0154,2.0753055280348893,2.892255546339651,0.00326984,3.37407e-06
8.0,1.0,20.0,0.002,13675.447565624,14.719957,0.52567553,14.0,11.0,290261.0,292367.0,50.950356,0.72400061,6.2412616e-05,0.013833469,initial.bhinfo0148,7145.265093506574,1664.661435552542,8.73799e-09,8.3131e-06
8.0,1.0,20.0,0.002,9362.89456232,14.227582,0.80199117,14.0,11.0,245146.0,575770.0,117.94991,0.12932837,6.0324947e-05,0.0102882,initial.bhinfo0138,15758.516302320788,4426.367523510443,3.82948e-09,2.32514e-06
8.0,1.0,20.0,0.002,757.5912801730001,12.185583,0.85608066,14.0,11.0,185827.0,198640.0,4.3218643,0.15239413,5.1666871e-05,0.0096719855,initial.bhinfo0046,562.5172531771778,173.2154668680584,9.18828e-08,5.58582e-05
8.0,1.0,20.0,0.002,1962.379689062,0.71293892,17.193456,11.0,14.0,419700.0,681340.0,46.638868,0.93699623,0.011338032,7.2900253e-05,initial.bhinfo0078,1594.9697091881048,6442.975066969635,7.1112e-06,1.13188e-08
8.0,1.0,20.0,0.002,735.9748252584,12.185583,0.85608066,14.0,11.0,185827.0,198640.0,5.0333418,0.37578089,5.1666871e-05,0.0096719855,initial.bhinfo0045,655.1204311615874,201.73068594345114,7.88949e-08,4.79625e-05
8.0,1.0,20.0,0.002,11817.01733654,0.81666424,14.04497,11.0,14.0,647841.0,1014115.0,0.2345337,0.71439496,0.010119843,5.9550672e-05,initial.bhinfo0144,8.88387519318713,31.22270137531316,0.00113954,1.90798e-06
2.0,1.0,2.0,0.0002,1993.9130301240002,0.29200382,15.350388,10.0,14.0,93775.0,131772.0,0.0838664,0.73687234,0.01837148,6.5085647e-05,initial.bhinfo0028,2.254037241552951,12.428911062661555,0.00815344,5.23854e-06
2.0,1.0,2.0,0.0002,2211.547763592,0.29200382,15.350388,10.0,14.0,93775.0,131772.0,0.050865544,0.89040234,0.01837148,6.5085647e-05,initial.bhinfo0029,1.3670889711237189,7.538219388573949,0.0134433,8.63722e-06
2.0,1.0,2.0,0.0002,403.01938146960003,18.040224,1.0087573,14.0,11.0,167944.0,183053.0,9.7027732,0.5969251,7.6490549e-05,0.0079593876,initial.bhinfo0018,1297.5176577943525,363.2420133964348,5.89729e-08,2.192e-05
2.0,1.0,2.0,0.0002,403.01938146960003,16.638776,1.0660752,14.0,11.0,55710.0,105657.0,59.140137,0.79214394,7.054841e-05,0.0073056119,initial.bhinfo0018,7783.833153997967,2306.15474827362,9.06675e-09,3.16903e-06
2.0,1.0,2.0,0.0002,2648.3382353160005,0.0099530112,15.419484,10.0,14.0,93775.0,131772.0,0.006332869,2.3731738e-06,0.060332004,6.5378611e-05,initial.bhinfo0030,0.05704071028357366,1.078138310377507,1.05808,6.06623e-05
2.0,1.0,2.0,0.0002,3202.9699048560005,0.0075370213,15.4219,10.0,14.0,93775.0,131772.0,0.0076697085,7.2431953e-06,0.066204575,6.5388854e-05,initial.bhinfo0031,0.0630352787336018,1.3113839041095936,1.05066,4.98806e-05
2.0,1.0,2.0,0.0002,1755.628137144,0.29200382,15.350388,10.0,14.0,93775.0,131772.0,0.090362645,0.61708172,0.01837148,6.5085647e-05,initial.bhinfo0027,2.4286337207180533,13.391647645443932,0.00756728,4.86193e-06
2.0,1.0,2.0,0.0002,1487.8345949640002,17.519574,0.95194335,14.0,11.0,15890.0,61610.0,138.94015,0.69121504,7.4282993e-05,0.0085972527,initial.bhinfo0026,18640.67897945525,5156.81955423713,3.98644e-09,1.66777e-06
2.0,1.0,2.0,0.0002,3577.6127580480006,0.0068432192,15.422593,10.0,14.0,93775.0,131772.0,0.0081954513,2.1379322e-05,0.0683741,6.5391796e-05,initial.bhinfo0032,0.06524538905628745,1.4031870221464033,1.04833,4.66193e-05
2.0,1.0,2.0,0.0002,611.3720746728001,1.0190532,15.621184,11.0,14.0,7266.0,94719.0,245.14653,0.81742875,0.0078429604,6.6233819e-05,initial.bhinfo0021,9610.888852270802,32195.934192599132,8.16346e-07,2.05796e-09
16.0,2.0,8.0,0.002,129.69020975078,28.020013,1.0231022,14.0,11.0,235378.0,1626298.0,0.12841899,1.1730912e-08,0.00011880486,0.0077970722,initial.bhinfo0005,17.970130028487162,4.224363501669609,6.61364e-06,0.00184641
