N,rv,rg,z,time,interaction_type,id_merger,mass_merger,id1,m1,id2,m2,id3,m3,id4,m4,r,typem,type1,type2,type3,type4,b[RSUN],vinf[km/s]
16,0.5,2,0.002,124.4637843,single-single,1692876,19.4305,1692875,19.4305,562466,4.54699,-100,-100,-100,-100,0.115183,14,14,4,-100,-100,657.168,26.7433
16,0.5,2,0.002,129.275312,single-single,2863385,17.0004,1370450,17.0004,1183385,4.34789,-100,-100,-100,-100,0.213058,14,14,4,-100,-100,167.087,62.8895
16,0.5,2,0.002,131.7553715,single-single,1724465,28.7012,1724464,28.7012,736542,4.29239,-100,-100,-100,-100,0.0433962,14,14,4,-100,-100,542.276,48.3221
16,0.5,2,0.002,137.250596,single-single,2586695,21.9551,2586694,21.9551,1113882,4.34511,-100,-100,-100,-100,0.0276511,14,14,5,-100,-100,12079.3,3.89358
16,0.5,2,0.002,146.1218502,single-single,1892040,16.2163,1892039,16.2163,779888,4.12252,-100,-100,-100,-100,0.0286732,14,14,4,-100,-100,224.213,51.0531
16,0.5,2,0.002,146.9346799,single-single,1680348,21.2426,1719502,21.2426,347,3.63231,-100,-100,-100,-100,0.0216742,14,14,6,-100,-100,1026.62,76.6424
16,0.5,2,0.002,155.6573428,single-single,1929366,13.1172,1929365,13.1172,290160,4.09056,-100,-100,-100,-100,0.158996,14,14,4,-100,-100,228.461,41.3722
16,0.5,2,0.002,158.4248557,single-single,1894437,19.8449,1894436,19.8449,892351,4.00074,-100,-100,-100,-100,0.0414896,14,14,6,-100,-100,2100.49,31.3917
16,0.5,2,0.002,161.1578742,single-single,2265987,18.3349,684474,18.3349,585987,3.97517,-100,-100,-100,-100,0.143074,14,14,4,-100,-100,347.075,43.562
16,0.5,2,0.002,161.1605276,single-single,1680955,15.0074,1680954,15.0074,1240796,4.05534,-100,-100,-100,-100,0.0767817,14,14,5,-100,-100,454.705,46.986
16,0.5,2,0.002,166.9980428,single-single,1757265,26.5869,1757264,26.5869,1414248,3.99225,-100,-100,-100,-100,0.0172676,14,14,5,-100,-100,2351.7,18.6468
16,0.5,2,0.002,170.3165817,single-single,1731605,11.8716,51605,11.8716,416522,3.85126,-100,-100,-100,-100,0.367367,14,14,4,-100,-100,244.225,40.538
16,0.5,2,0.002,173.7996325,single-single,2291627,13.4481,2291626,13.4481,1608449,4.45077,-100,-100,-100,-100,0.0829671,14,14,5,-100,-100,1197.08,33.6064
16,0.5,2,0.002,178.4678757,single-single,1995457,15.8702,1995456,15.8702,658939,3.77975,-100,-100,-100,-100,0.122397,14,14,4,-100,-100,732.651,22.5837
16,0.5,2,0.002,187.335592,single-single,2738804,17.1796,1503403,17.1796,1058804,3.66432,-100,-100,-100,-100,0.104647,14,14,2,-100,-100,231.157,19.6461
16,0.5,2,0.002,194.8925207,single-single,1832404,15.3474,1099675,15.3474,152404,3.60786,-100,-100,-100,-100,0.0446311,14,14,4,-100,-100,286.547,75.3841
16,0.5,2,0.002,196.1077853,single-single,1833408,17.1662,153408,17.1662,352041,2.99665,-100,-100,-100,-100,0.112862,14,14,3,-100,-100,306.1,59.4115
16,0.5,2,0.002,200.2462297,single-single,1822845,13.7365,1822844,13.7365,1064146,3.56467,-100,-100,-100,-100,0.102134,14,14,4,-100,-100,469.567,40.1264
16,0.5,2,0.002,208.2453945,single-single,1754811,16.6632,1754810,16.6632,1359638,3.5084,-100,-100,-100,-100,0.161372,14,14,4,-100,-100,457.017,32.6024
16,0.5,2,0.002,211.4268403,single-single,2592925,16.482,912925,16.482,1099389,3.50412,-100,-100,-100,-100,0.0424763,14,14,4,-100,-100,117.099,42.8426
16,0.5,2,0.002,216.5107854,single-single,1809365,19.6434,1809364,19.6434,167955,3.46542,-100,-100,-100,-100,0.0136536,14,14,4,-100,-100,504.505,33.181
16,0.5,2,0.002,227.8081462,single-single,2272093,16.544,1557908,16.544,592093,2.06678,-100,-100,-100,-100,0.116242,14,14,6,-100,-100,897.136,33.8543
16,0.5,2,0.002,233.3697061,single-single,1713433,13.3249,1713432,13.3249,517274,3.3739,-100,-100,-100,-100,0.0582344,14,14,4,-100,-100,155.225,52.3935
16,0.5,2,0.002,233.6845782,single-single,1902742,16.7319,524489,16.7319,222742,3.38573,-100,-100,-100,-100,0.0748095,14,14,4,-100,-100,109.789,69.1337
16,0.5,2,0.002,238.6570798,single-single,1744983,17.1149,1744982,17.1149,1332436,3.30845,-100,-100,-100,-100,0.238271,14,14,4,-100,-100,383.661,45.5382
16,0.5,2,0.002,239.4601803,single-single,1702501,11.8928,1702500,11.8928,1262966,3.33851,-100,-100,-100,-100,0.058022,14,14,4,-100,-100,793.746,19.8704
16,0.5,2,0.002,239.8060089,single-single,1719296,11.9652,1719295,11.9652,390175,2.33227,-100,-100,-100,-100,0.180886,14,14,6,-100,-100,1825.45,29.5468
16,0.5,2,0.002,243.7029925,single-single,1793557,17.0729,2168243,17.0729,113556,3.33033,-100,-100,-100,-100,0.0107884,14,14,4,-100,-100,237.157,66.4222
16,0.5,2,0.002,244.1814919,single-single,2262201,16.946,2262200,16.946,590247,3.37229,-100,-100,-100,-100,0.091813,14,14,4,-100,-100,617.868,8.97347
