N,rv,rg,z,t_snapshot[myr],id,m[MSUN],r,vr,vt,E,J,binflag,m0[MSUN],m1[MSUN],id0,id1,a[AU],e,startype,luminosity[LSUN],radius[RSUN],bin_startype0,bin_startype1,bin_star_lum0[LSUN],bin_star_lum1[LSUN],bin_star_radius0[RSUN],bin_star_radius1[RSUN],bin.Eb,eta,star.phi,rad0,rad1,tb,lum0,lum1,massc0,massc1,radc0,radc1,menv0,menv1,renv0,renv1,tms0,tms1,dmdt0,dmdt1,radrol0,radrol1,ospin0,ospin1,B0,B1,formation0,formation1,bacc0,bacc1,tacc0,tacc1,mass0_0,mass0_1,epoch0,epoch1,ospin,B,formation
16.0,0.5,2.0,0.002,0,176167,1.7374113,0.32546553,0.055133056,1.0353378,-0.92670194,0.33696677,-100,-100,-100,-100,-100,-100,-100,1,13.899333,1.1343452,-100,-100,-100,-100,-100,-100,-100,-100,-1.46418394385,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3759.01,0,0
16.0,0.5,2.0,0.002,0,177352,4.623131,0.32647539,0.27748364,0.55299053,-1.2717455,0.1805378,-100,-100,-100,-100,-100,-100,-100,1,486.95884,1.9265169,-100,-100,-100,-100,-100,-100,-100,-100,-1.46314334578,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5736.9,0,0
16.0,0.5,2.0,0.002,0,187389,4.7258658,0.33480255,0.44740541,0.26393805,-1.31962,0.08836713,-100,-100,-100,-100,-100,-100,-100,1,524.34863,1.9517099,-100,-100,-100,-100,-100,-100,-100,-100,-1.45453747269,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5673.55,0,0
16.0,0.5,2.0,0.002,0,189868,6.1495734,0.33677068,0.36492006,0.71924793,-1.1272533,0.24222162,-100,-100,-100,-100,-100,-100,-100,1,1251.4068,2.2824303,-100,-100,-100,-100,-100,-100,-100,-100,-1.45249540176,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4854.79,0,0
16.0,0.5,2.0,0.002,0,199699,8.0736687,0.34470879,0.098974985,0.8213878,-1.1020155,0.2831396,-100,-100,-100,-100,-100,-100,-100,1,2978.6567,2.6873691,-100,-100,-100,-100,-100,-100,-100,-100,-1.44425243538,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4026.19,0,0
16.0,0.5,2.0,0.002,0,222742,3.4130626,0.36284262,0.29829236,0.40517631,-1.2987215,0.14701523,-100,-100,-100,-100,-100,-100,-100,1,171.41184,1.612329,-100,-100,-100,-100,-100,-100,-100,-100,-1.42529462535,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6343.44,0,0
16.0,0.5,2.0,0.002,0,227229,1.9521841,0.36631193,-0.30265124,0.57290829,-1.2117329,0.20986314,-100,-100,-100,-100,-100,-100,-100,1,21.957841,1.18745,-100,-100,-100,-100,-100,-100,-100,-100,-1.42164378823,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4574.4,0,0
16.0,0.5,2.0,0.002,0,-100,1.6605844,0.36820524,0.56569002,1.2928157,-0.42395964,0.47602152,1,0.8516382,0.80894623,229759,1640604,0.017687041,0,-100,-100,-100,1,1,0.61845021,0.48401117,0.79205617,0.75307259,-2.1330281e-06,5.1929421,-1.41964846536,0.792056,0.753073,0.666718,0.61845,0.484011,0,0,0,0,0.0492664,0.0542987,0.236146,0.231579,11886.4,14447.2,-0,0,0.543407,0.528946,714.101,637.654,0,0,0,0,0,0,0,0,0.851638,0.808946,0,0,-100,-100,-100
16.0,0.5,2.0,0.002,0,261928,2.3744155,0.39294182,0.68265677,0.60070863,-0.98009081,0.23604354,-100,-100,-100,-100,-100,-100,-100,1,46.180939,1.3115571,-100,-100,-100,-100,-100,-100,-100,-100,-1.39352637309,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5696.75,0,0
16.0,0.5,2.0,0.002,0,269550,5.5592841,0.39872107,0.020093585,0.41335883,-1.301784,0.16481488,-100,-100,-100,-100,-100,-100,-100,1,899.8699,2.1491463,-100,-100,-100,-100,-100,-100,-100,-100,-1.38741863241,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5174.82,0,0
16.0,0.5,2.0,0.002,0,270429,9.0866304,0.39943074,-0.35101231,0.29889944,-1.2803928,0.11938962,-100,-100,-100,-100,-100,-100,-100,1,4295.0625,2.8859886,-100,-100,-100,-100,-100,-100,-100,-100,-1.38666802979,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3696.85,0,0
16.0,0.5,2.0,0.002,0,290160,4.149731,0.41430411,-0.14152118,0.15569781,-1.3488295,0.064506242,-100,-100,-100,-100,-100,-100,-100,1,337.44987,1.8076591,-100,-100,-100,-100,-100,-100,-100,-100,-1.37096452886,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6021.4,0,0
