#N,#rv,#rg,#z,#t_snapshot[myr],#M1[MSUN],#M2[MSUN],#k1,#k2,#id1,#id2,#sma[AU],#ecc,#snapshot
16.0,0.5,2.0,0.02,237.57851922432,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066918705,0.53059111,initial.bhinfo0036
16.0,0.5,2.0,0.02,242.25056566992,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310122,0.0,initial.bhinfo0037
16.0,0.5,2.0,0.02,242.25056566992,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066907623,0.53053219,initial.bhinfo0037
16.0,0.5,2.0,0.02,245.12875253928,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310118,0.0,initial.bhinfo0038
16.0,0.5,2.0,0.02,245.12875253928,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066900796,0.53049589,initial.bhinfo0038
16.0,0.5,2.0,0.02,248.03273945688002,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066893907,0.53045925,initial.bhinfo0039
16.0,0.5,2.0,0.02,248.03273945688002,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310113,0.0,initial.bhinfo0039
16.0,0.5,2.0,0.02,250.97260055879997,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310109,0.0,initial.bhinfo0040
16.0,0.5,2.0,0.02,250.97260055879997,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066886932,0.53042215,initial.bhinfo0040
16.0,0.5,2.0,0.02,253.77266201639998,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310104,0.0,initial.bhinfo0041
16.0,0.5,2.0,0.02,253.77266201639998,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066880289,0.53038681,initial.bhinfo0041
16.0,0.5,2.0,0.02,256.78076897784,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066873152,0.53034884,initial.bhinfo0042
16.0,0.5,2.0,0.02,256.78076897784,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310099,0.0,initial.bhinfo0042
16.0,0.5,2.0,0.02,259.68617105064,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066866258,0.53031216,initial.bhinfo0043
16.0,0.5,2.0,0.02,259.68617105064,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310095,0.0,initial.bhinfo0043
16.0,0.5,2.0,0.02,262.63032184176,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066859272,0.53027497,initial.bhinfo0044
16.0,0.5,2.0,0.02,262.63032184176,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.1331009,0.0,initial.bhinfo0044
16.0,0.5,2.0,0.02,265.56048028584,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066852319,0.53023796,initial.bhinfo0045
16.0,0.5,2.0,0.02,265.56048028584,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310086,0.0,initial.bhinfo0045
16.0,0.5,2.0,0.02,268.56458058912,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.06684519,0.53020001,initial.bhinfo0046
16.0,0.5,2.0,0.02,268.56458058912,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310081,0.0,initial.bhinfo0046
16.0,0.5,2.0,0.02,268.56458058912,7.4278533,0.69498198,14.0,11.0,187804.0,382164.0,0.015566327,0.0,initial.bhinfo0046
16.0,0.5,2.0,0.02,271.55870404824003,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066838084,0.53016218,initial.bhinfo0047
16.0,0.5,2.0,0.02,271.55870404824003,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310076,0.0,initial.bhinfo0047
16.0,0.5,2.0,0.02,271.55870404824003,7.4278533,0.69498198,14.0,11.0,187804.0,382164.0,0.015540334,0.0,initial.bhinfo0047
16.0,0.5,2.0,0.02,274.42036898064,7.4278533,0.69498198,14.0,11.0,187804.0,382164.0,0.015515368,0.0,initial.bhinfo0048
16.0,0.5,2.0,0.02,274.42036898064,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310072,0.0,initial.bhinfo0048
16.0,0.5,2.0,0.02,274.42036898064,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066831293,0.53012601,initial.bhinfo0048
16.0,0.5,2.0,0.02,277.23599714543997,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066824633,0.53009052,initial.bhinfo0049
16.0,0.5,2.0,0.02,277.23599714543997,7.4278533,0.69498198,14.0,11.0,187804.0,382164.0,0.015490686,0.0,initial.bhinfo0049
16.0,0.5,2.0,0.02,277.23599714543997,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310067,0.0,initial.bhinfo0049
16.0,0.5,2.0,0.02,280.0121601696,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310063,0.0,initial.bhinfo0050
16.0,0.5,2.0,0.02,280.0121601696,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066818043,0.53005542,initial.bhinfo0050
16.0,0.5,2.0,0.02,280.0121601696,7.4278533,0.69498198,14.0,11.0,187804.0,382164.0,0.015466234,0.0,initial.bhinfo0050
16.0,0.5,2.0,0.02,282.96945421464,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066811023,0.53001803,initial.bhinfo0051
16.0,0.5,2.0,0.02,282.96945421464,7.4278533,0.69498198,14.0,11.0,187804.0,382164.0,0.015440059,0.0,initial.bhinfo0051
16.0,0.5,2.0,0.02,282.96945421464,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310058,0.0,initial.bhinfo0051
16.0,0.5,2.0,0.02,285.72310742639996,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066804487,0.5299832,initial.bhinfo0052
16.0,0.5,2.0,0.02,285.72310742639996,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13310054,0.0,initial.bhinfo0052
16.0,0.5,2.0,0.02,285.72310742639996,7.4278533,0.69498198,14.0,11.0,187804.0,382164.0,0.015415565,0.0,initial.bhinfo0052
16.0,0.5,2.0,0.02,322.69351518792,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.066716743,0.52955878,initial.bhinfo0053
16.0,0.5,2.0,0.02,322.69351518792,7.4278533,0.69498198,14.0,11.0,187804.0,382164.0,0.015074809,0.0,initial.bhinfo0053
16.0,0.5,2.0,0.02,322.69351518792,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13309996,0.0,initial.bhinfo0053
16.0,0.5,2.0,0.02,338.53899027287997,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.068841846,0.58117944,initial.bhinfo0054
16.0,0.5,2.0,0.02,338.53899027287997,0.69498198,9.0212685,11.0,14.0,382164.0,441499.0,0.017842587,0.6757097,initial.bhinfo0054
16.0,0.5,2.0,0.02,338.53899027287997,6.8053882,0.90406735,14.0,11.0,1875063.0,1979784.0,0.13309971,0.0,initial.bhinfo0054
16.0,0.5,2.0,0.02,347.07617051376,0.69498198,9.0212685,11.0,14.0,382164.0,441499.0,0.016348794,0.65066837,initial.bhinfo0055
16.0,0.5,2.0,0.02,347.07617051376,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.068814686,0.58104772,initial.bhinfo0055
16.0,0.5,2.0,0.02,347.07617051376,6.8053882,0.90406735,14.0,11.0,1875064.0,1979784.0,0.42265853,0.82648541,initial.bhinfo0055
16.0,0.5,2.0,0.02,356.58021132144,0.69498198,9.0212685,11.0,14.0,382164.0,441499.0,0.014664307,0.61755556,initial.bhinfo0056
16.0,0.5,2.0,0.02,356.58021132144,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.068784515,0.58068418,initial.bhinfo0056
16.0,0.5,2.0,0.02,356.58021132144,6.8053882,0.90406735,14.0,11.0,1875064.0,1979784.0,0.42265769,0.82648509,initial.bhinfo0056
16.0,0.5,2.0,0.02,363.66553077431996,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.068585011,0.57248832,initial.bhinfo0057
16.0,0.5,2.0,0.02,363.66553077431996,6.8053882,0.90406735,14.0,11.0,1875064.0,1979784.0,0.42265706,0.82648484,initial.bhinfo0057
16.0,0.5,2.0,0.02,363.66553077431996,0.69498198,9.0212685,11.0,14.0,382164.0,441499.0,0.013381274,0.58803348,initial.bhinfo0057
16.0,0.5,2.0,0.02,371.76633906456,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.068560678,0.57236839,initial.bhinfo0058
16.0,0.5,2.0,0.02,371.76633906456,6.8053882,0.90406735,14.0,11.0,1875064.0,1979784.0,0.42265634,0.82648457,initial.bhinfo0058
16.0,0.5,2.0,0.02,371.76633906456,0.69498198,9.0212685,11.0,14.0,382164.0,441499.0,0.011864148,0.54711819,initial.bhinfo0058
16.0,0.5,2.0,0.02,381.23010101735997,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.068532248,0.57222818,initial.bhinfo0059
16.0,0.5,2.0,0.02,381.23010101735997,0.69498198,9.0212685,11.0,14.0,382164.0,441499.0,0.0099659561,0.48428011,initial.bhinfo0059
16.0,0.5,2.0,0.02,381.23010101735997,6.8053882,0.90406735,14.0,11.0,1875064.0,1979784.0,0.34746331,0.34219133,initial.bhinfo0059
16.0,0.5,2.0,0.02,392.20260415248,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.06849928,0.57206548,initial.bhinfo0060
